8614e56 - lakshaysethi, 2 days ago : added login with email function
d7b1191 - lakshaysethi, 2 days ago : deleted some fucntions
e47d257 - lakshaysethi, 2 days ago : added doOnce () function
92386c2 - lakshaysethi, 2 days ago : moved views
0b929b1 - lakshaysethi, 2 days ago : moved set content
fc58bac - lakshaysethi, 2 days ago : moved  class views
3e24eb8 - lakshaysethi, 2 days ago : customer class updated + setDeliveryJobsforAllUsersOnce, getListOfCustomers()
e85bab1 - danica, 3 days ago : show the username
b1edb55 - danica, 3 days ago : Added login unit test case and passed.
e469d6d - danica, 3 days ago : text size
207b60d - danica, 3 days ago : text size
b85f806 - Midlanr, 3 days ago : Added partial assign code, needs two TODOs to complete
7a9334d - danica, 3 days ago : login and signup UI
f942616 - danica, 3 days ago : change the launcher png
ba131cf - Midlanr, 3 days ago : dead code
404bb81 - danica, 3 days ago : not need to loging again and back not go back to login
62a8329 - Midlanr, 3 days ago : Stable build backup
7b22e27 - Midlanr, 3 days ago : Getting users' input and showing it in a toast in the admin main activity
659aa27 - danica, 3 days ago : Merge branch 'master' of https://github.com/lakshaysethi/Assignment_3_Mobile_Dev
bc0f2b8 - lakshaysethi, 3 days ago : Merge pull request #39 from lakshaysethi/try-to-get-reciever-to-work-
f54f89f - lakshaysethi, 3 days ago : Merge branch 'master' into try-to-get-reciever-to-work-
dd628b4 - danica, 3 days ago : Merge branch 'master' of https://github.com/lakshaysethi/Assignment_3_Mobile_Dev
f37703a - Danica, 3 days ago : Create README.md
f63615d - danica, 3 days ago : Merge branch 'master' of https://github.com/lakshaysethi/Assignment_3_Mobile_Dev
f4b553d - lakshaysethi, 3 days ago : added code for drievr getiing delivery jobs from the firestore
017796e - Abdullah Raza, 3 days ago : Merge pull request #38 from lakshaysethi/master
65784b1 - Midlanr, 3 days ago : added dialog layout + class
03f2f60 - lakshaysethi, 3 days ago : working now driver has parcels
decc78f - danica, 3 days ago : Merge branch 'master' of https://github.com/lakshaysethi/Assignment_3_Mobile_Dev
0680bb7 - danica, 3 days ago : update
41e2d1f - Abdullah Raza, 3 days ago : Merge pull request #37 from lakshaysethi/assign
02e8490 - Midlanr, 3 days ago : Merge branch 'master' into assign
0e01b0d - lakshaysethi, 3 days ago : Merge pull request #36 from lakshaysethi/master
c7a3eb1 - lakshaysethi, 3 days ago : Update AdminMainActivity.java
b72cde7 - lakshaysethi, 3 days ago : Merge branch 'master' of https://github.com/lakshaysethi/Assignment_3_Mobile_Dev
86878a6 - lakshaysethi, 3 days ago : need to save work - almost there
0be9049 - Midlanr, 3 days ago : Added login page logo
55eaa9a - danica, 3 days ago : update
f7897fc - danica, 3 days ago : update signup UI
a19adb5 - danica, 3 days ago : update signup UI
d048ac4 - Midlanr, 3 days ago : Adjusted signup page element positions
81168d3 - lakshaysethi, 3 days ago : Merge pull request #31 from lakshaysethi/master-copy-for-test-code-lakshay
840bb2b - lakshaysethi, 3 days ago : Merge branch 'master' into master-copy-for-test-code-lakshay
